天数,销量
2019-10-20,1
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,2
2019-10-30,2
2019-10-31,55
2019-11-01,3
2019-11-02,0
2019-11-03,0
2019-11-04,0
2019-11-05,1
2019-11-06,7
2019-11-07,11
2019-11-08,13
2019-11-09,13
2019-11-10,497
2019-11-11,12
2019-11-12,1
2019-11-13,3
2019-11-14,0
2019-11-15,1
2019-11-16,2
2019-11-17,0
2019-11-18,1
2019-11-19,3
2019-11-20,2
2019-11-21,4
2019-11-22,2
2019-11-23,0
2019-11-24,1
2019-11-25,4
2019-11-26,0
2019-11-27,1
2019-11-28,2
2019-11-29,1
2019-11-30,86
2019-12-01,8
2019-12-02,2
2019-12-03,5
2019-12-04,6
2019-12-05,1
2019-12-06,2
2019-12-07,2
2019-12-08,0
2019-12-09,1
2019-12-10,0
2019-12-11,328
2019-12-12,6
2019-12-13,0
2019-12-14,0
2019-12-15,1
2019-12-16,15
2019-12-17,2
2019-12-18,24
2019-12-19,2
2019-12-20,2
2019-12-21,1
2019-12-22,0
2019-12-23,3
2019-12-24,36
2019-12-25,11
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,42
2020-01-01,0
2020-01-02,0
2020-01-03,1
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,1
2020-01-10,1
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,1
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,2
2020-02-06,1
