天数,销量
2020-09-26,3
2020-09-27,22
2020-09-28,40
2020-09-29,33
2020-09-30,8
2020-10-01,20
2020-10-02,24
2020-10-03,33
2020-10-04,19
2020-10-05,0
2020-10-06,0
2020-10-07,1
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,20
2020-10-30,68
2020-10-31,64
2020-11-01,42
2020-11-02,21
2020-11-03,30
2020-11-04,33
2020-11-05,31
2020-11-06,10
2020-11-07,4
2020-11-08,16
2020-11-09,8
2020-11-10,57
2020-11-11,91
2020-11-12,47
2020-11-13,21
2020-11-14,5
2020-11-15,9
2020-11-16,16
2020-11-17,14
2020-11-18,10
2020-11-19,6
2020-11-20,8
2020-11-21,12
2020-11-22,20
2020-11-23,26
2020-11-24,27
2020-11-25,14
2020-11-26,1
2020-11-27,5
2020-11-28,39
2020-11-29,17
2020-11-30,17
2020-12-01,18
2020-12-02,27
2020-12-03,11
2020-12-04,13
2020-12-05,18
2020-12-06,14
2020-12-07,12
2020-12-08,15
2020-12-09,11
2020-12-10,18
2020-12-11,44
2020-12-12,102
2020-12-13,71
2020-12-14,14
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,1
2020-12-19,0
2020-12-20,0
2020-12-21,28
2020-12-22,21
2020-12-23,21
2020-12-24,20
2020-12-25,23
2020-12-26,29
2020-12-27,20
