天数,销量
2020-10-21,5
2020-10-22,3
2020-10-23,3
2020-10-24,4
2020-10-25,5
2020-10-26,4
2020-10-27,1
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,15
2020-11-01,22
2020-11-02,19
2020-11-03,16
2020-11-04,6
2020-11-05,4
2020-11-06,3
2020-11-07,0
2020-11-08,1
2020-11-09,0
2020-11-10,48
2020-11-11,34
2020-11-12,3
2020-11-13,5
2020-11-14,1
2020-11-15,0
2020-11-16,1
2020-11-17,3
2020-11-18,1
2020-11-19,2
2020-11-20,2
2020-11-21,6
2020-11-22,6
2020-11-23,1
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,2
2020-12-07,3
2020-12-08,0
2020-12-09,9
2020-12-10,9
2020-12-11,3
2020-12-12,0
2020-12-13,0
2020-12-14,2
