天数,销量
2020-01-09,1
2020-01-10,2
2020-01-11,1
2020-01-12,0
2020-01-13,1
2020-01-14,2
2020-01-15,0
2020-01-16,4
2020-01-17,1
2020-01-18,1
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,2
2020-01-30,1
2020-01-31,1
2020-02-01,0
2020-02-02,2
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,4
2020-02-07,1
2020-02-08,6
2020-02-09,2
2020-02-10,2
2020-02-11,5
2020-02-12,5
2020-02-13,6
2020-02-14,6
2020-02-15,7
2020-02-16,9
2020-02-17,3
2020-02-18,0
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,1
2020-02-24,0
2020-02-25,1
2020-02-26,1
2020-02-27,0
2020-02-28,0
2020-02-29,2
2020-03-01,5
2020-03-02,1
2020-03-03,12
2020-03-04,5
2020-03-05,7
