天数,销量
2019-10-20,5
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,0
2019-11-02,0
2019-11-03,0
2019-11-04,0
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,0
2019-11-10,0
2019-11-11,0
2019-11-12,0
2019-11-13,3
2019-11-14,3
2019-11-15,6
2019-11-16,13
2019-11-17,9
2019-11-18,16
2019-11-19,13
2019-11-20,10
2019-11-21,13
2019-11-22,18
2019-11-23,3
2019-11-24,7
2019-11-25,3
2019-11-26,4
2019-11-27,8
2019-11-28,12
2019-11-29,8
2019-11-30,3
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,5
2019-12-05,3
2019-12-06,4
2019-12-07,7
2019-12-08,5
2019-12-09,3
2019-12-10,7
2019-12-11,10
2019-12-12,11
2019-12-13,0
2019-12-14,4
2019-12-15,6
2019-12-16,5
