天数,销量
2019-11-10,19
2019-11-11,18
2019-11-12,3
2019-11-13,0
2019-11-14,3
2019-11-15,0
2019-11-16,1
2019-11-17,2
2019-11-18,1
2019-11-19,2
2019-11-20,2
2019-11-21,0
2019-11-22,2
2019-11-23,1
2019-11-24,0
2019-11-25,0
2019-11-26,2
2019-11-27,1
2019-11-28,0
2019-11-29,1
2019-11-30,0
2019-12-01,0
2019-12-02,5
2019-12-03,0
2019-12-04,0
2019-12-05,2
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,1
2019-12-11,5
2019-12-12,1
2019-12-13,1
2019-12-14,0
2019-12-15,1
2019-12-16,1
2019-12-17,0
2019-12-18,2
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,1
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,4
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,1
2019-12-31,0
2020-01-01,1
2020-01-02,0
2020-01-03,2
2020-01-04,1
2020-01-05,1
2020-01-06,0
2020-01-07,1
2020-01-08,1
2020-01-09,0
2020-01-10,2
