天数,销量
2019-11-10,13
2019-11-11,29
2019-11-12,2
2019-11-13,1
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,1
2019-11-19,1
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-23,2
2019-11-24,0
2019-11-25,2
2019-11-26,0
2019-11-27,1
2019-11-28,0
2019-11-29,1
2019-11-30,1
2019-12-01,1
2019-12-02,2
2019-12-03,0
2019-12-04,1
2019-12-05,0
2019-12-06,1
2019-12-07,1
2019-12-08,0
2019-12-09,1
2019-12-10,0
2019-12-11,8
2019-12-12,12
2019-12-13,1
2019-12-14,1
2019-12-15,0
2019-12-16,1
2019-12-17,0
2019-12-18,0
2019-12-19,1
2019-12-20,1
