天数,销量
2019-11-10,17
2019-11-11,23
2019-11-12,0
2019-11-13,2
2019-11-14,1
2019-11-15,1
2019-11-16,1
2019-11-17,0
2019-11-18,2
2019-11-19,2
2019-11-20,1
2019-11-21,1
2019-11-22,0
2019-11-23,1
2019-11-24,1
2019-11-25,2
2019-11-26,1
2019-11-27,0
2019-11-28,2
2019-11-29,0
2019-11-30,1
2019-12-01,0
2019-12-02,0
2019-12-03,1
2019-12-04,2
2019-12-05,1
2019-12-06,1
2019-12-07,2
2019-12-08,1
2019-12-09,0
2019-12-10,1
2019-12-11,11
2019-12-12,8
2019-12-13,0
2019-12-14,1
2019-12-15,2
2019-12-16,1
2019-12-17,0
2019-12-18,0
2019-12-19,3
2019-12-20,0
2019-12-21,0
2019-12-22,1
2019-12-23,2
2019-12-24,3
2019-12-25,0
2019-12-26,1
2019-12-27,3
2019-12-28,3
2019-12-29,3
2019-12-30,5
2019-12-31,0
2020-01-01,0
2020-01-02,1
2020-01-03,4
2020-01-04,9
2020-01-05,16
2020-01-06,11
2020-01-07,9
2020-01-08,10
2020-01-09,5
2020-01-10,2
2020-01-11,5
2020-01-12,6
2020-01-13,6
2020-01-14,3
2020-01-15,4
2020-01-16,4
2020-01-17,1
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,3
2020-01-23,1
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,0
2020-01-29,3
2020-01-30,1
2020-01-31,2
2020-02-01,3
2020-02-02,7
2020-02-03,7
2020-02-04,2
2020-02-05,4
2020-02-06,1
2020-02-07,5
2020-02-08,5
2020-02-09,5
2020-02-10,14
2020-02-11,7
2020-02-12,6
2020-02-13,6
2020-02-14,12
2020-02-15,17
2020-02-16,28
2020-02-17,31
2020-02-18,11
2020-02-19,1
2020-02-20,0
2020-02-21,0
2020-02-22,1
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,3
