天数,销量
2019-11-10,21
2019-11-11,26
2019-11-12,1
2019-11-13,0
2019-11-14,1
2019-11-15,1
2019-11-16,1
2019-11-17,1
2019-11-18,3
2019-11-19,0
2019-11-20,1
2019-11-21,2
2019-11-22,0
2019-11-23,4
2019-11-24,0
2019-11-25,2
2019-11-26,0
2019-11-27,1
2019-11-28,3
2019-11-29,0
2019-11-30,1
2019-12-01,2
2019-12-02,2
2019-12-03,0
2019-12-04,2
2019-12-05,1
2019-12-06,0
2019-12-07,1
2019-12-08,3
2019-12-09,1
2019-12-10,2
2019-12-11,7
2019-12-12,12
2019-12-13,3
2019-12-14,4
2019-12-15,1
2019-12-16,2
2019-12-17,0
2019-12-18,2
2019-12-19,0
2019-12-20,3
2019-12-21,0
2019-12-22,3
2019-12-23,3
2019-12-24,10
2019-12-25,8
2019-12-26,11
2019-12-27,9
2019-12-28,3
2019-12-29,4
2019-12-30,5
2019-12-31,5
2020-01-01,1
2020-01-02,3
