天数,销量
2020-03-08,1
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,1
2020-04-26,3
2020-04-27,5
2020-04-28,2
2020-04-29,6
2020-04-30,8
2020-05-01,7
2020-05-02,12
2020-05-03,11
2020-05-04,13
2020-05-05,8
2020-05-06,5
2020-05-07,15
2020-05-08,12
2020-05-09,18
2020-05-10,16
2020-05-11,20
2020-05-12,20
2020-05-13,31
2020-05-14,42
2020-05-15,56
2020-05-16,30
2020-05-17,19
2020-05-18,18
2020-05-19,29
2020-05-20,29
2020-05-21,23
2020-05-22,15
2020-05-23,12
2020-05-24,20
2020-05-25,19
2020-05-26,16
2020-05-27,18
2020-05-28,20
2020-05-29,12
2020-05-30,26
2020-05-31,27
2020-06-01,22
2020-06-02,20
2020-06-03,17
2020-06-04,15
2020-06-05,10
2020-06-06,8
2020-06-07,16
2020-06-08,13
2020-06-09,20
2020-06-10,6
2020-06-11,17
2020-06-12,6
2020-06-13,11
2020-06-14,15
2020-06-15,11
2020-06-16,10
2020-06-17,27
2020-06-18,65
2020-06-19,19
2020-06-20,12
2020-06-21,7
2020-06-22,9
2020-06-23,13
2020-06-24,6
2020-06-25,5
2020-06-26,10
2020-06-27,13
2020-06-28,11
2020-06-29,8
2020-06-30,11
2020-07-01,7
2020-07-02,9
2020-07-03,5
2020-07-04,9
2020-07-05,11
2020-07-06,12
2020-07-07,7
2020-07-08,8
2020-07-09,18
2020-07-10,11
2020-07-11,12
2020-07-12,13
2020-07-13,9
2020-07-14,13
2020-07-15,7
2020-07-16,13
2020-07-17,14
2020-07-18,7
2020-07-19,7
2020-07-20,5
2020-07-21,11
2020-07-22,13
2020-07-23,6
2020-07-24,7
2020-07-25,10
2020-07-26,14
2020-07-27,19
2020-07-28,7
2020-07-29,8
2020-07-30,8
2020-07-31,8
2020-08-01,14
2020-08-02,5
2020-08-03,6
2020-08-04,5
2020-08-05,6
2020-08-06,15
2020-08-07,8
2020-08-08,12
2020-08-09,13
2020-08-10,14
2020-08-11,18
2020-08-12,11
2020-08-13,9
2020-08-14,13
2020-08-15,5
2020-08-16,7
2020-08-17,12
2020-08-18,14
2020-08-19,16
2020-08-20,9
2020-08-21,9
2020-08-22,13
2020-08-23,17
2020-08-24,45
2020-08-25,32
2020-08-26,37
2020-08-27,33
2020-08-28,33
2020-08-29,25
2020-08-30,21
2020-08-31,11
2020-09-01,9
2020-09-02,7
2020-09-03,15
2020-09-04,10
2020-09-05,9
2020-09-06,5
2020-09-07,17
2020-09-08,18
2020-09-09,12
2020-09-10,14
2020-09-11,17
2020-09-12,9
2020-09-13,12
2020-09-14,15
2020-09-15,11
2020-09-16,17
2020-09-17,25
2020-09-18,61
2020-09-19,43
2020-09-20,35
2020-09-21,51
2020-09-22,57
2020-09-23,66
2020-09-24,66
2020-09-25,76
2020-09-26,51
2020-09-27,58
2020-09-28,44
2020-09-29,69
2020-09-30,3
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,28
2020-10-05,29
2020-10-06,18
2020-10-07,15
2020-10-08,16
2020-10-09,24
2020-10-10,18
2020-10-11,22
2020-10-12,13
2020-10-13,16
2020-10-14,0
2020-10-15,0
2020-10-16,1
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,16
2020-10-23,79
2020-10-24,18
2020-10-25,87
2020-10-26,115
2020-10-27,99
2020-10-28,16
2020-10-29,21
2020-10-30,30
2020-10-31,81
2020-11-01,44
2020-11-02,43
2020-11-03,42
2020-11-04,36
2020-11-05,30
2020-11-06,39
2020-11-07,26
2020-11-08,0
2020-11-09,1
2020-11-10,78
2020-11-11,244
2020-11-12,6
