天数,销量
2019-10-20,11
2019-10-21,1
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,88
2019-11-01,0
2019-11-02,0
2019-11-03,0
2019-11-04,0
2019-11-05,5
2019-11-06,42
2019-11-07,9
2019-11-08,0
2019-11-09,2
2019-11-10,716
2019-11-11,78
2019-11-12,0
2019-11-13,1
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,1
2019-11-19,0
2019-11-20,3
2019-11-21,0
2019-11-22,19
2019-11-23,271
2019-11-24,215
2019-11-25,221
2019-11-26,221
2019-11-27,235
2019-11-28,249
2019-11-29,254
2019-11-30,6
2019-12-01,0
2019-12-02,0
2019-12-03,0
2019-12-04,1
2019-12-05,3
2019-12-06,12
2019-12-07,176
2019-12-08,229
2019-12-09,229
2019-12-10,237
2019-12-11,428
2019-12-12,297
2019-12-13,166
2019-12-14,0
2019-12-15,0
2019-12-16,1
2019-12-17,3
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,1
2019-12-23,1
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,59
2020-01-04,160
2020-01-05,109
2020-01-06,11
2020-01-07,6
2020-01-08,7
2020-01-09,100
2020-01-10,79
2020-01-11,62
2020-01-12,37
2020-01-13,4
2020-01-14,1
2020-01-15,0
2020-01-16,0
2020-01-17,1
2020-01-18,13
2020-01-19,11
2020-01-20,15
2020-01-21,5
2020-01-22,5
2020-01-23,7
2020-01-24,1
2020-01-25,2
2020-01-26,6
2020-01-27,3
2020-01-28,4
2020-01-29,11
2020-01-30,5
2020-01-31,7
2020-02-01,16
2020-02-02,31
2020-02-03,19
2020-02-04,24
2020-02-05,9
2020-02-06,20
2020-02-07,21
2020-02-08,15
2020-02-09,29
2020-02-10,21
2020-02-11,6
2020-02-12,7
2020-02-13,1
2020-02-14,1
2020-02-15,0
2020-02-16,1
2020-02-17,0
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,4
2020-02-22,1
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,54
2020-03-15,83
2020-03-16,72
2020-03-17,72
2020-03-18,82
2020-03-19,111
2020-03-20,85
2020-03-21,76
2020-03-22,5
2020-03-23,33
2020-03-24,45
2020-03-25,2
2020-03-26,0
2020-03-27,4
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,1
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,2
2020-05-12,1
2020-05-13,6
2020-05-14,9
2020-05-15,12
2020-05-16,9
2020-05-17,4
2020-05-18,11
2020-05-19,7
2020-05-20,9
2020-05-21,13
2020-05-22,9
2020-05-23,4
2020-05-24,5
2020-05-25,24
2020-05-26,13
2020-05-27,9
2020-05-28,10
2020-05-29,9
2020-05-30,2
2020-05-31,21
2020-06-01,31
2020-06-02,18
2020-06-03,16
2020-06-04,21
2020-06-05,13
2020-06-06,19
2020-06-07,7
2020-06-08,22
2020-06-09,11
2020-06-10,10
2020-06-11,7
2020-06-12,11
2020-06-13,3
2020-06-14,7
2020-06-15,68
2020-06-16,94
2020-06-17,91
2020-06-18,63
2020-06-19,11
2020-06-20,15
2020-06-21,3
2020-06-22,13
2020-06-23,13
2020-06-24,10
2020-06-25,3
2020-06-26,1
2020-06-27,4
2020-06-28,0
2020-06-29,1
2020-06-30,0
2020-07-01,1
2020-07-02,0
2020-07-03,2
2020-07-04,6
2020-07-05,87
2020-07-06,12
2020-07-07,10
2020-07-08,11
2020-07-09,8
2020-07-10,18
2020-07-11,18
2020-07-12,8
2020-07-13,12
2020-07-14,29
2020-07-15,13
2020-07-16,14
2020-07-17,7
2020-07-18,14
2020-07-19,12
2020-07-20,30
2020-07-21,11
2020-07-22,8
2020-07-23,11
2020-07-24,8
2020-07-25,2
2020-07-26,12
2020-07-27,44
2020-07-28,58
2020-07-29,1
2020-07-30,1
2020-07-31,2
2020-08-01,0
2020-08-02,0
2020-08-03,0
2020-08-04,9
2020-08-05,25
2020-08-06,11
2020-08-07,8
2020-08-08,12
2020-08-09,3
2020-08-10,32
2020-08-11,18
2020-08-12,5
2020-08-13,9
2020-08-14,7
2020-08-15,7
2020-08-16,6
2020-08-17,4
2020-08-18,10
2020-08-19,1
2020-08-20,8
2020-08-21,6
2020-08-22,23
2020-08-23,46
2020-08-24,76
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,2
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,1
2020-09-02,18
2020-09-03,4
2020-09-04,5
2020-09-05,5
2020-09-06,3
2020-09-07,7
2020-09-08,1
2020-09-09,3
2020-09-10,5
2020-09-11,1
2020-09-12,6
2020-09-13,5
2020-09-14,11
2020-09-15,25
2020-09-16,4
2020-09-17,4
2020-09-18,5
2020-09-19,4
2020-09-20,2
2020-09-21,8
2020-09-22,29
2020-09-23,6
2020-09-24,2
2020-09-25,8
2020-09-26,2
2020-09-27,5
2020-09-28,19
2020-09-29,10
2020-09-30,13
2020-10-01,12
2020-10-02,20
2020-10-03,19
2020-10-04,30
2020-10-05,45
2020-10-06,24
2020-10-07,23
2020-10-08,22
2020-10-09,19
2020-10-10,4
