天数,销量
2020-08-08,6
2020-08-09,11
2020-08-10,7
2020-08-11,7
2020-08-12,3
2020-08-13,5
2020-08-14,3
2020-08-15,5
2020-08-16,3
2020-08-17,9
2020-08-18,4
2020-08-19,4
2020-08-20,9
2020-08-21,7
2020-08-22,2
2020-08-23,6
2020-08-24,2
2020-08-25,3
2020-08-26,3
2020-08-27,4
2020-08-28,56
2020-08-29,8
2020-08-30,5
2020-08-31,6
2020-09-01,3
2020-09-02,6
2020-09-03,5
2020-09-04,5
2020-09-05,8
2020-09-06,4
2020-09-07,1
2020-09-08,34
2020-09-09,28
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,1
