天数,销量
2020-10-05,1
2020-10-06,34
2020-10-07,37
2020-10-08,34
2020-10-09,38
2020-10-10,40
2020-10-11,27
2020-10-12,39
2020-10-13,40
2020-10-14,33
2020-10-15,53
2020-10-16,41
2020-10-17,26
2020-10-18,62
2020-10-19,93
2020-10-20,108
2020-10-21,47
2020-10-22,41
2020-10-23,55
2020-10-24,41
2020-10-25,31
2020-10-26,47
2020-10-27,34
2020-10-28,56
2020-10-29,112
2020-10-30,11
2020-10-31,176
2020-11-01,248
2020-11-02,169
2020-11-03,116
2020-11-04,31
2020-11-05,36
2020-11-06,22
2020-11-07,29
2020-11-08,21
2020-11-09,12
2020-11-10,595
2020-11-11,770
2020-11-12,36
2020-11-13,26
2020-11-14,27
2020-11-15,37
2020-11-16,35
2020-11-17,34
2020-11-18,30
2020-11-19,30
2020-11-20,14
2020-11-21,3
2020-11-22,2
2020-11-23,0
2020-11-24,0
2020-11-25,4
