天数,销量
2019-12-03,1
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,1
2019-12-23,75
2019-12-24,83
2019-12-25,77
2019-12-26,85
2019-12-27,60
2019-12-28,80
2019-12-29,53
2019-12-30,135
2019-12-31,297
2020-01-01,0
2020-01-02,1
2020-01-03,101
2020-01-04,22
2020-01-05,0
2020-01-06,1
2020-01-07,0
2020-01-08,0
2020-01-09,5
2020-01-10,144
2020-01-11,106
2020-01-12,151
2020-01-13,135
2020-01-14,159
2020-01-15,154
2020-01-16,127
2020-01-17,23
2020-01-18,0
2020-01-19,9
2020-01-20,5
2020-01-21,12
2020-01-22,13
2020-01-23,8
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,1
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,54
2020-03-13,202
2020-03-14,24
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,34
2020-03-30,23
2020-03-31,31
2020-04-01,46
2020-04-02,43
2020-04-03,43
2020-04-04,46
2020-04-05,52
2020-04-06,75
2020-04-07,70
2020-04-08,23
2020-04-09,7
2020-04-10,13
2020-04-11,15
2020-04-12,16
2020-04-13,26
2020-04-14,67
2020-04-15,85
2020-04-16,102
2020-04-17,90
2020-04-18,121
2020-04-19,108
2020-04-20,144
2020-04-21,169
2020-04-22,150
2020-04-23,155
2020-04-24,156
2020-04-25,128
2020-04-26,147
2020-04-27,167
2020-04-28,167
2020-04-29,160
2020-04-30,138
2020-05-01,153
2020-05-02,159
2020-05-03,119
2020-05-04,135
2020-05-05,105
2020-05-06,132
2020-05-07,150
2020-05-08,148
2020-05-09,138
2020-05-10,122
2020-05-11,124
2020-05-12,114
2020-05-13,66
2020-05-14,196
2020-05-15,196
2020-05-16,28
2020-05-17,65
2020-05-18,69
2020-05-19,68
2020-05-20,60
2020-05-21,27
