天数,销量
2020-05-08,1
2020-05-09,0
2020-05-10,2
2020-05-11,1
2020-05-12,2
2020-05-13,2
2020-05-14,5
2020-05-15,2
2020-05-16,5
2020-05-17,3
2020-05-18,4
2020-05-19,9
2020-05-20,2
2020-05-21,6
2020-05-22,3
2020-05-23,5
2020-05-24,2
2020-05-25,6
2020-05-26,6
2020-05-27,3
2020-05-28,4
2020-05-29,1
2020-05-30,2
2020-05-31,18
2020-06-01,13
2020-06-02,7
2020-06-03,5
2020-06-04,4
2020-06-05,4
2020-06-06,3
2020-06-07,2
2020-06-08,2
2020-06-09,1
2020-06-10,3
2020-06-11,3
2020-06-12,2
2020-06-13,5
2020-06-14,6
2020-06-15,19
2020-06-16,17
2020-06-17,39
2020-06-18,39
2020-06-19,24
2020-06-20,67
2020-06-21,34
2020-06-22,5
2020-06-23,6
2020-06-24,6
2020-06-25,1
2020-06-26,2
2020-06-27,2
2020-06-28,7
2020-06-29,3
2020-06-30,2
2020-07-01,6
2020-07-02,5
2020-07-03,4
2020-07-04,1
2020-07-05,1
2020-07-06,1
2020-07-07,1
2020-07-08,6
2020-07-09,11
2020-07-10,11
2020-07-11,7
2020-07-12,5
2020-07-13,10
2020-07-14,16
2020-07-15,9
2020-07-16,7
2020-07-17,11
2020-07-18,20
2020-07-19,21
2020-07-20,14
2020-07-21,6
2020-07-22,26
2020-07-23,8
2020-07-24,4
2020-07-25,1
2020-07-26,4
2020-07-27,4
2020-07-28,7
2020-07-29,14
2020-07-30,10
2020-07-31,16
2020-08-01,3
2020-08-02,7
2020-08-03,5
2020-08-04,3
2020-08-05,3
2020-08-06,2
2020-08-07,1
2020-08-08,6
2020-08-09,4
2020-08-10,3
2020-08-11,13
2020-08-12,2
2020-08-13,4
2020-08-14,11
2020-08-15,8
2020-08-16,19
2020-08-17,12
