天数,销量
2020-08-04,1
2020-08-05,0
2020-08-06,0
2020-08-07,2
2020-08-08,10
2020-08-09,7
2020-08-10,6
2020-08-11,6
2020-08-12,5
2020-08-13,7
2020-08-14,2
2020-08-15,5
2020-08-16,5
2020-08-17,6
2020-08-18,5
2020-08-19,6
2020-08-20,6
2020-08-21,6
2020-08-22,5
2020-08-23,6
2020-08-24,4
2020-08-25,6
2020-08-26,4
2020-08-27,8
2020-08-28,227
2020-08-29,16
2020-08-30,8
2020-08-31,17
2020-09-01,7
2020-09-02,5
2020-09-03,9
2020-09-04,11
2020-09-05,12
2020-09-06,2
2020-09-07,6
2020-09-08,10
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,1
2020-09-17,1
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,8
2020-09-22,22
2020-09-23,18
2020-09-24,12
2020-09-25,20
2020-09-26,18
2020-09-27,26
2020-09-28,71
2020-09-29,3
2020-09-30,0
2020-10-01,0
2020-10-02,2
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,1
2020-11-11,1
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,6
2020-11-24,18
2020-11-25,12
2020-11-26,10
2020-11-27,9
2020-11-28,6
2020-11-29,6
2020-11-30,6
2020-12-01,5
2020-12-02,9
2020-12-03,4
2020-12-04,5
2020-12-05,4
2020-12-06,7
2020-12-07,11
2020-12-08,5
2020-12-09,19
2020-12-10,56
2020-12-11,68
2020-12-12,73
2020-12-13,18
2020-12-14,26
2020-12-15,38
2020-12-16,16
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,5
2020-12-25,11
2020-12-26,4
