天数,销量
2020-08-06,1
2020-08-07,1
2020-08-08,3
2020-08-09,1
2020-08-10,3
2020-08-11,1
2020-08-12,0
2020-08-13,0
2020-08-14,4
2020-08-15,2
2020-08-16,0
2020-08-17,4
2020-08-18,4
2020-08-19,4
2020-08-20,2
2020-08-21,1
2020-08-22,0
2020-08-23,1
2020-08-24,1
2020-08-25,2
2020-08-26,6
2020-08-27,4
2020-08-28,79
2020-08-29,14
2020-08-30,10
2020-08-31,18
2020-09-01,10
2020-09-02,7
2020-09-03,3
2020-09-04,7
2020-09-05,12
2020-09-06,2
2020-09-07,9
2020-09-08,29
2020-09-09,79
2020-09-10,0
2020-09-11,1
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,14
2020-09-19,14
2020-09-20,8
2020-09-21,23
2020-09-22,32
2020-09-23,34
2020-09-24,24
2020-09-25,20
2020-09-26,18
2020-09-27,24
2020-09-28,80
2020-09-29,156
2020-09-30,12
2020-10-01,13
2020-10-02,14
2020-10-03,13
2020-10-04,15
2020-10-05,18
2020-10-06,31
2020-10-07,14
2020-10-08,0
2020-10-09,18
2020-10-10,23
2020-10-11,30
2020-10-12,36
2020-10-13,23
2020-10-14,26
2020-10-15,40
2020-10-16,20
2020-10-17,29
2020-10-18,20
2020-10-19,0
2020-10-20,1
2020-10-21,0
2020-10-22,1
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,7
2020-11-24,1
2020-11-25,1
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,1
2020-11-30,3
2020-12-01,5
2020-12-02,2
2020-12-03,0
2020-12-04,1
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,5
2020-12-21,8
2020-12-22,7
2020-12-23,9
2020-12-24,7
2020-12-25,5
2020-12-26,2
