天数,销量
2020-08-07,2
2020-08-08,8
2020-08-09,6
2020-08-10,7
2020-08-11,7
2020-08-12,3
2020-08-13,4
2020-08-14,3
2020-08-15,5
2020-08-16,4
2020-08-17,4
2020-08-18,5
2020-08-19,1
2020-08-20,0
2020-08-21,1
2020-08-22,3
2020-08-23,2
2020-08-24,2
2020-08-25,4
2020-08-26,0
2020-08-27,8
2020-08-28,46
2020-08-29,9
2020-08-30,4
2020-08-31,10
2020-09-01,6
2020-09-02,7
2020-09-03,5
2020-09-04,10
2020-09-05,33
2020-09-06,14
2020-09-07,9
2020-09-08,38
2020-09-09,123
2020-09-10,31
2020-09-11,3
2020-09-12,3
2020-09-13,3
2020-09-14,1
2020-09-15,7
2020-09-16,3
2020-09-17,5
2020-09-18,8
2020-09-19,7
