天数,销量
2020-08-07,3
2020-08-08,16
2020-08-09,8
2020-08-10,11
2020-08-11,17
2020-08-12,6
2020-08-13,12
2020-08-14,8
2020-08-15,20
2020-08-16,19
2020-08-17,8
2020-08-18,7
2020-08-19,7
2020-08-20,16
2020-08-21,9
2020-08-22,8
2020-08-23,6
2020-08-24,5
2020-08-25,4
2020-08-26,7
2020-08-27,11
2020-08-28,186
2020-08-29,1
2020-08-30,0
2020-08-31,0
2020-09-01,1
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,1
2020-09-07,7
2020-09-08,55
2020-09-09,286
2020-09-10,95
2020-09-11,4
2020-09-12,0
2020-09-13,1
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,1
2020-09-19,0
2020-09-20,0
2020-09-21,1
2020-09-22,0
2020-09-23,7
2020-09-24,21
2020-09-25,41
2020-09-26,32
2020-09-27,43
2020-09-28,127
2020-09-29,6
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,1
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,1
