天数,销量
2020-08-10,4
2020-08-11,3
2020-08-12,5
2020-08-13,1
2020-08-14,3
2020-08-15,5
2020-08-16,1
2020-08-17,1
2020-08-18,3
2020-08-19,4
2020-08-20,4
2020-08-21,4
2020-08-22,4
2020-08-23,3
2020-08-24,2
2020-08-25,4
2020-08-26,1
2020-08-27,6
2020-08-28,34
2020-08-29,3
2020-08-30,3
2020-08-31,6
2020-09-01,2
2020-09-02,3
2020-09-03,3
2020-09-04,7
2020-09-05,14
2020-09-06,9
2020-09-07,5
2020-09-08,30
2020-09-09,54
2020-09-10,8
2020-09-11,1
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,6
2020-09-21,12
2020-09-22,20
2020-09-23,17
2020-09-24,11
2020-09-25,1
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,1
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,6
2020-11-24,10
2020-11-25,6
2020-11-26,5
2020-11-27,2
2020-11-28,2
2020-11-29,5
2020-11-30,1
2020-12-01,6
2020-12-02,3
2020-12-03,1
2020-12-04,5
2020-12-05,5
2020-12-06,3
2020-12-07,1
2020-12-08,1
2020-12-09,12
2020-12-10,38
2020-12-11,40
2020-12-12,51
2020-12-13,16
2020-12-14,14
2020-12-15,11
2020-12-16,7
2020-12-17,11
2020-12-18,6
2020-12-19,9
2020-12-20,6
2020-12-21,0
2020-12-22,1
2020-12-23,1
2020-12-24,3
2020-12-25,4
2020-12-26,1
