天数,销量
2020-08-07,7
2020-08-08,31
2020-08-09,33
2020-08-10,19
2020-08-11,31
2020-08-12,28
2020-08-13,14
2020-08-14,23
2020-08-15,18
2020-08-16,22
2020-08-17,13
2020-08-18,14
2020-08-19,16
2020-08-20,19
2020-08-21,20
2020-08-22,16
2020-08-23,14
2020-08-24,9
2020-08-25,11
2020-08-26,16
2020-08-27,36
2020-08-28,157
2020-08-29,39
2020-08-30,23
2020-08-31,63
2020-09-01,28
2020-09-02,23
2020-09-03,17
2020-09-04,25
2020-09-05,50
2020-09-06,19
2020-09-07,30
2020-09-08,149
2020-09-09,271
2020-09-10,1
2020-09-11,1
2020-09-12,53
2020-09-13,64
2020-09-14,21
2020-09-15,20
2020-09-16,16
2020-09-17,12
2020-09-18,22
2020-09-19,30
2020-09-20,39
2020-09-21,64
2020-09-22,110
2020-09-23,93
2020-09-24,66
2020-09-25,88
2020-09-26,69
2020-09-27,92
2020-09-28,277
2020-09-29,216
2020-09-30,30
2020-10-01,32
2020-10-02,31
2020-10-03,30
2020-10-04,36
2020-10-05,21
2020-10-06,50
2020-10-07,56
2020-10-08,44
2020-10-09,44
2020-10-10,39
2020-10-11,43
2020-10-12,3
2020-10-13,0
2020-10-14,1
2020-10-15,0
2020-10-16,0
2020-10-17,1
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,1
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,9
2020-12-09,55
2020-12-10,117
2020-12-11,115
2020-12-12,187
2020-12-13,56
2020-12-14,57
2020-12-15,55
2020-12-16,60
2020-12-17,74
2020-12-18,39
2020-12-19,65
2020-12-20,54
2020-12-21,30
2020-12-22,24
2020-12-23,32
2020-12-24,28
2020-12-25,18
2020-12-26,6
