天数,销量
2019-11-10,32
2019-11-11,1
2019-11-12,0
2019-11-13,2
2019-11-14,0
2019-11-15,3
2019-11-16,0
2019-11-17,0
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-23,0
2019-11-24,0
2019-11-25,2
2019-11-26,1
2019-11-27,1
2019-11-28,3
2019-11-29,1
2019-11-30,0
2019-12-01,0
2019-12-02,1
2019-12-03,1
2019-12-04,1
2019-12-05,1
2019-12-06,1
2019-12-07,2
2019-12-08,0
2019-12-09,0
2019-12-10,1
2019-12-11,8
2019-12-12,8
2019-12-13,1
2019-12-14,2
2019-12-15,2
2019-12-16,2
2019-12-17,1
2019-12-18,1
2019-12-19,3
2019-12-20,1
2019-12-21,1
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,4
2019-12-27,1
2019-12-28,0
2019-12-29,1
2019-12-30,1
2019-12-31,3
2020-01-01,1
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,2
2020-01-06,2
2020-01-07,1
2020-01-08,6
2020-01-09,3
2020-01-10,1
