天数,销量
2019-04-18,4
2019-04-19,2
2019-04-20,1
2019-04-21,2
2019-04-22,2
2019-04-23,1
2019-04-24,1
2019-04-25,3
2019-04-26,3
2019-04-27,0
2019-04-28,3
2019-04-29,3
2019-04-30,2
2019-05-01,8
2019-05-02,5
2019-05-03,4
2019-05-04,7
2019-05-05,1
2019-05-06,3
2019-05-07,6
2019-05-08,3
2019-05-09,4
2019-05-10,2
2019-05-11,6
2019-05-12,6
2019-05-13,2
2019-05-14,2
2019-05-15,43
2019-05-16,7
2019-05-17,3
2019-05-18,10
2019-05-19,4
2019-05-20,10
2019-05-21,11
2019-05-22,8
2019-05-23,6
2019-05-24,5
2019-05-25,11
2019-05-26,16
2019-05-27,6
2019-05-28,3
2019-05-29,5
2019-05-30,3
2019-05-31,48
2019-06-01,39
2019-06-02,27
2019-06-03,13
2019-06-04,12
2019-06-05,7
2019-06-06,5
2019-06-07,13
2019-06-08,5
2019-06-09,5
2019-06-10,9
2019-06-11,13
2019-06-12,12
2019-06-13,7
2019-06-14,2
2019-06-15,28
2019-06-16,24
2019-06-17,24
2019-06-18,58
2019-06-19,16
2019-06-20,11
2019-06-21,4
2019-06-22,7
2019-06-23,3
2019-06-24,4
2019-06-25,7
2019-06-26,6
2019-06-27,5
2019-06-28,10
2019-06-29,5
2019-06-30,6
2019-07-01,5
2019-07-02,7
2019-07-03,10
2019-07-04,8
2019-07-05,9
2019-07-06,8
2019-07-07,13
2019-07-08,10
2019-07-09,13
2019-07-10,7
2019-07-11,11
2019-07-12,20
2019-07-13,9
2019-07-14,12
2019-07-15,8
2019-07-16,16
2019-07-17,16
2019-07-18,11
2019-07-19,12
2019-07-20,10
2019-07-21,11
2019-07-22,6
2019-07-23,11
2019-07-24,8
2019-07-25,10
2019-07-26,9
2019-07-27,19
2019-07-28,9
2019-07-29,14
2019-07-30,14
2019-07-31,15
2019-08-01,7
2019-08-02,5
2019-08-03,6
2019-08-04,2
2019-08-05,1
2019-08-06,1
2019-08-07,0
2019-08-08,2
2019-08-09,2
2019-08-10,1
2019-08-11,2
2019-08-12,3
2019-08-13,5
2019-08-14,10
2019-08-15,17
2019-08-16,6
2019-08-17,5
2019-08-18,9
2019-08-19,8
2019-08-20,8
2019-08-21,9
2019-08-22,3
2019-08-23,4
2019-08-24,8
2019-08-25,11
2019-08-26,5
2019-08-27,5
2019-08-28,16
2019-08-29,13
2019-08-30,10
2019-08-31,19
2019-09-01,14
2019-09-02,4
2019-09-03,6
2019-09-04,9
2019-09-05,4
2019-09-06,7
2019-09-07,3
2019-09-08,42
2019-09-09,26
2019-09-10,21
2019-09-11,7
2019-09-12,13
2019-09-13,10
2019-09-14,9
2019-09-15,11
2019-09-16,15
2019-09-17,11
2019-09-18,6
2019-09-19,6
2019-09-20,15
2019-09-21,22
2019-09-22,13
2019-09-23,9
2019-09-24,11
2019-09-25,17
2019-09-26,18
2019-09-27,20
2019-09-28,21
2019-09-29,16
2019-09-30,16
2019-10-01,14
2019-10-02,16
2019-10-03,22
2019-10-04,15
2019-10-05,20
2019-10-06,23
2019-10-07,28
2019-10-08,17
2019-10-09,26
2019-10-10,19
2019-10-11,31
2019-10-12,28
2019-10-13,23
2019-10-14,26
2019-10-15,21
2019-10-16,24
2019-10-17,22
2019-10-18,22
2019-10-19,28
2019-10-20,23
2019-10-21,23
2019-10-22,45
2019-10-23,52
2019-10-24,41
2019-10-25,36
2019-10-26,31
2019-10-27,37
2019-10-28,44
2019-10-29,36
2019-10-30,36
2019-10-31,85
2019-11-01,63
2019-11-02,55
2019-11-03,25
2019-11-04,18
2019-11-05,15
2019-11-06,19
2019-11-07,55
2019-11-08,55
2019-11-09,18
2019-11-10,17
2019-11-11,9
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,1
2019-11-16,0
2019-11-17,0
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,1
2019-11-23,0
2019-11-24,0
2019-11-25,1
2019-11-26,0
2019-11-27,0
2019-11-28,1
2019-11-29,1
2019-11-30,1
2019-12-01,3
2019-12-02,1
2019-12-03,0
2019-12-04,1
2019-12-05,1
2019-12-06,0
2019-12-07,3
2019-12-08,1
2019-12-09,0
2019-12-10,1
2019-12-11,17
2019-12-12,11
2019-12-13,2
2019-12-14,1
2019-12-15,0
2019-12-16,1
2019-12-17,0
2019-12-18,0
2019-12-19,2
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,1
2019-12-24,1
2019-12-25,0
2019-12-26,3
2019-12-27,1
2019-12-28,0
2019-12-29,2
2019-12-30,0
2019-12-31,2
2020-01-01,0
2020-01-02,1
2020-01-03,0
2020-01-04,0
2020-01-05,1
2020-01-06,4
2020-01-07,0
2020-01-08,0
2020-01-09,1
2020-01-10,1
2020-01-11,5
2020-01-12,0
2020-01-13,0
2020-01-14,1
2020-01-15,1
2020-01-16,1
2020-01-17,1
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,1
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,1
2020-02-03,0
2020-02-04,2
2020-02-05,2
