天数,销量
2019-11-23,2
2019-11-24,2
2019-11-25,3
2019-11-26,0
2019-11-27,1
2019-11-28,2
2019-11-29,3
2019-11-30,6
2019-12-01,2
2019-12-02,2
2019-12-03,1
2019-12-04,2
2019-12-05,2
2019-12-06,1
2019-12-07,2
2019-12-08,1
2019-12-09,1
2019-12-10,2
2019-12-11,23
2019-12-12,29
2019-12-13,0
2019-12-14,4
2019-12-15,2
2019-12-16,1
2019-12-17,0
2019-12-18,2
2019-12-19,2
2019-12-20,3
2019-12-21,2
2019-12-22,1
2019-12-23,2
2019-12-24,2
2019-12-25,4
2019-12-26,5
2019-12-27,6
2019-12-28,4
2019-12-29,1
2019-12-30,2
2019-12-31,3
2020-01-01,2
2020-01-02,7
2020-01-03,0
2020-01-04,3
2020-01-05,2
2020-01-06,7
2020-01-07,2
2020-01-08,2
2020-01-09,2
2020-01-10,6
2020-01-11,2
2020-01-12,7
2020-01-13,5
2020-01-14,4
2020-01-15,6
2020-01-16,5
2020-01-17,0
2020-01-18,1
2020-01-19,1
2020-01-20,0
2020-01-21,0
2020-01-22,1
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,1
2020-01-30,0
2020-01-31,2
