天数,销量
2020-10-31,43
2020-11-01,11
2020-11-02,9
2020-11-03,8
2020-11-04,0
2020-11-05,1
2020-11-06,1
2020-11-07,1
2020-11-08,0
2020-11-09,0
2020-11-10,102
2020-11-11,0
2020-11-12,0
2020-11-13,1
2020-11-14,0
2020-11-15,1
2020-11-16,4
2020-11-17,3
2020-11-18,1
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,1
2020-11-24,3
2020-11-25,2
2020-11-26,0
2020-11-27,0
2020-11-28,1
2020-11-29,1
2020-11-30,0
2020-12-01,1
2020-12-02,1
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,1
2020-12-07,0
2020-12-08,0
2020-12-09,8
2020-12-10,2
2020-12-11,10
2020-12-12,6
2020-12-13,2
2020-12-14,0
2020-12-15,0
2020-12-16,3
2020-12-17,2
2020-12-18,2
2020-12-19,0
2020-12-20,0
2020-12-21,2
2020-12-22,3
2020-12-23,2
2020-12-24,0
2020-12-25,1
