天数,销量
2020-10-31,97
2020-11-01,32
2020-11-02,19
2020-11-03,21
2020-11-04,4
2020-11-05,1
2020-11-06,3
2020-11-07,0
2020-11-08,1
2020-11-09,0
2020-11-10,156
2020-11-11,22
2020-11-12,0
2020-11-13,1
2020-11-14,2
2020-11-15,2
2020-11-16,2
2020-11-17,2
2020-11-18,6
2020-11-19,0
2020-11-20,2
2020-11-21,3
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,1
2020-11-29,1
2020-11-30,2
2020-12-01,4
2020-12-02,2
2020-12-03,0
2020-12-04,3
2020-12-05,2
2020-12-06,0
2020-12-07,1
2020-12-08,0
2020-12-09,27
2020-12-10,18
2020-12-11,31
2020-12-12,27
2020-12-13,3
2020-12-14,2
2020-12-15,1
2020-12-16,1
2020-12-17,1
