天数,销量
2020-10-06,5
2020-10-07,0
2020-10-08,3
2020-10-09,5
2020-10-10,3
2020-10-11,2
2020-10-12,2
2020-10-13,8
2020-10-14,3
2020-10-15,1
2020-10-16,5
2020-10-17,6
2020-10-18,4
2020-10-19,4
2020-10-20,7
2020-10-21,6
2020-10-22,2
2020-10-23,1
2020-10-24,6
2020-10-25,6
2020-10-26,3
2020-10-27,4
2020-10-28,12
2020-10-29,4
2020-10-30,4
2020-10-31,61
2020-11-01,34
2020-11-02,14
2020-11-03,12
2020-11-04,25
2020-11-05,24
2020-11-06,24
2020-11-07,16
2020-11-08,32
2020-11-09,25
2020-11-10,124
2020-11-11,148
2020-11-12,30
2020-11-13,22
2020-11-14,5
2020-11-15,8
2020-11-16,28
2020-11-17,21
2020-11-18,27
2020-11-19,18
2020-11-20,20
2020-11-21,24
2020-11-22,29
2020-11-23,27
2020-11-24,23
2020-11-25,15
2020-11-26,20
2020-11-27,22
2020-11-28,33
2020-11-29,47
2020-11-30,25
2020-12-01,30
2020-12-02,26
2020-12-03,36
2020-12-04,24
2020-12-05,28
2020-12-06,23
2020-12-07,25
2020-12-08,25
2020-12-09,42
2020-12-10,27
2020-12-11,46
2020-12-12,12
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,7
2020-12-21,52
2020-12-22,243
2020-12-23,22
2020-12-24,3
2020-12-25,17
2020-12-26,13
2020-12-27,8
