天数,销量
2020-10-29,1
2020-10-30,1
2020-10-31,4
2020-11-01,0
2020-11-02,2
2020-11-03,4
2020-11-04,1
2020-11-05,1
2020-11-06,3
2020-11-07,0
2020-11-08,2
2020-11-09,0
2020-11-10,3
2020-11-11,8
2020-11-12,0
2020-11-13,1
2020-11-14,1
2020-11-15,0
2020-11-16,1
2020-11-17,1
2020-11-18,1
2020-11-19,1
2020-11-20,4
2020-11-21,1
2020-11-22,0
2020-11-23,1
2020-11-24,2
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,2
2020-11-30,2
2020-12-01,2
2020-12-02,0
2020-12-03,0
2020-12-04,1
2020-12-05,0
2020-12-06,1
2020-12-07,0
2020-12-08,0
2020-12-09,2
2020-12-10,3
2020-12-11,5
2020-12-12,6
2020-12-13,0
2020-12-14,1
2020-12-15,1
2020-12-16,1
2020-12-17,1
2020-12-18,0
2020-12-19,0
2020-12-20,2
2020-12-21,0
2020-12-22,1
2020-12-23,2
2020-12-24,0
2020-12-25,0
2020-12-26,1
