天数,销量
2020-09-23,9
2020-09-24,6
2020-09-25,7
2020-09-26,9
2020-09-27,8
2020-09-28,3
2020-09-29,4
2020-09-30,10
2020-10-01,4
2020-10-02,5
2020-10-03,2
2020-10-04,6
2020-10-05,10
2020-10-06,3
2020-10-07,8
2020-10-08,5
2020-10-09,3
2020-10-10,5
2020-10-11,8
2020-10-12,7
2020-10-13,9
2020-10-14,6
2020-10-15,6
2020-10-16,3
2020-10-17,7
2020-10-18,5
2020-10-19,2
2020-10-20,6
2020-10-21,6
2020-10-22,3
2020-10-23,6
2020-10-24,5
2020-10-25,6
2020-10-26,1
2020-10-27,3
2020-10-28,6
2020-10-29,2
2020-10-30,0
2020-10-31,145
2020-11-01,40
2020-11-02,28
2020-11-03,1
2020-11-04,0
2020-11-05,0
2020-11-06,1
2020-11-07,0
2020-11-08,4
2020-11-09,0
2020-11-10,188
2020-11-11,2
2020-11-12,1
2020-11-13,2
2020-11-14,2
2020-11-15,4
2020-11-16,1
2020-11-17,2
2020-11-18,2
2020-11-19,3
2020-11-20,2
2020-11-21,1
2020-11-22,3
2020-11-23,1
2020-11-24,2
2020-11-25,0
2020-11-26,4
2020-11-27,5
2020-11-28,7
2020-11-29,3
2020-11-30,1
2020-12-01,7
2020-12-02,2
2020-12-03,1
2020-12-04,3
2020-12-05,3
2020-12-06,0
2020-12-07,3
2020-12-08,0
2020-12-09,34
2020-12-10,17
2020-12-11,26
2020-12-12,24
2020-12-13,3
2020-12-14,1
2020-12-15,1
2020-12-16,2
2020-12-17,3
2020-12-18,2
2020-12-19,0
2020-12-20,2
2020-12-21,2
2020-12-22,3
2020-12-23,2
2020-12-24,1
2020-12-25,2
2020-12-26,2
