天数,销量
2019-12-31,5
2020-01-01,67
2020-01-02,1
2020-01-03,0
2020-01-04,1
2020-01-05,1
2020-01-06,1
2020-01-07,0
2020-01-08,113
2020-01-09,221
2020-01-10,47
2020-01-11,363
2020-01-12,174
2020-01-13,189
2020-01-14,62
2020-01-15,3
2020-01-16,0
2020-01-17,38
2020-01-18,13
2020-01-19,5
2020-01-20,8
2020-01-21,5
2020-01-22,23
2020-01-23,8
2020-01-24,1
2020-01-25,1
2020-01-26,4
2020-01-27,6
2020-01-28,14
2020-01-29,17
2020-01-30,37
2020-01-31,42
2020-02-01,47
2020-02-02,105
2020-02-03,121
2020-02-04,103
2020-02-05,97
2020-02-06,117
2020-02-07,158
2020-02-08,85
2020-02-09,32
2020-02-10,80
2020-02-11,337
2020-02-12,371
2020-02-13,383
2020-02-14,453
2020-02-15,86
2020-02-16,34
2020-02-17,15
2020-02-18,10
2020-02-19,396
2020-02-20,61
2020-02-21,8
2020-02-22,3
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,1
2020-03-27,2
2020-03-28,27
2020-03-29,74
2020-03-30,71
2020-03-31,2
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,1
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,1
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,1
2020-04-24,0
2020-04-25,0
2020-04-26,44
2020-04-27,31
2020-04-28,30
2020-04-29,52
2020-04-30,62
2020-05-01,34
2020-05-02,44
2020-05-03,29
2020-05-04,39
2020-05-05,49
2020-05-06,27
2020-05-07,31
2020-05-08,12
2020-05-09,29
2020-05-10,26
2020-05-11,29
2020-05-12,14
2020-05-13,18
2020-05-14,12
2020-05-15,11
2020-05-16,8
2020-05-17,39
2020-05-18,35
2020-05-19,46
2020-05-20,42
2020-05-21,22
2020-05-22,19
2020-05-23,16
2020-05-24,12
2020-05-25,15
2020-05-26,13
2020-05-27,9
2020-05-28,5
2020-05-29,11
2020-05-30,4
2020-05-31,143
2020-06-01,41
2020-06-02,28
2020-06-03,49
2020-06-04,7
2020-06-05,20
2020-06-06,21
2020-06-07,20
2020-06-08,13
2020-06-09,31
2020-06-10,26
2020-06-11,21
2020-06-12,22
2020-06-13,21
2020-06-14,7
2020-06-15,163
2020-06-16,76
2020-06-17,198
2020-06-18,171
2020-06-19,8
2020-06-20,48
2020-06-21,10
2020-06-22,11
2020-06-23,7
2020-06-24,13
2020-06-25,16
2020-06-26,24
2020-06-27,14
2020-06-28,15
2020-06-29,16
2020-06-30,9
2020-07-01,32
2020-07-02,18
2020-07-03,16
2020-07-04,17
2020-07-05,22
2020-07-06,11
2020-07-07,12
2020-07-08,16
2020-07-09,20
2020-07-10,21
2020-07-11,22
2020-07-12,26
2020-07-13,21
2020-07-14,11
2020-07-15,19
2020-07-16,24
2020-07-17,21
2020-07-18,18
2020-07-19,14
2020-07-20,16
2020-07-21,18
2020-07-22,29
2020-07-23,12
2020-07-24,26
2020-07-25,15
2020-07-26,22
2020-07-27,15
2020-07-28,19
2020-07-29,15
2020-07-30,21
2020-07-31,27
2020-08-01,23
2020-08-02,22
2020-08-03,15
2020-08-04,25
2020-08-05,32
2020-08-06,31
2020-08-07,19
2020-08-08,44
2020-08-09,38
2020-08-10,18
2020-08-11,38
2020-08-12,33
2020-08-13,42
2020-08-14,57
2020-08-15,55
2020-08-16,37
2020-08-17,66
2020-08-18,99
2020-08-19,75
2020-08-20,86
2020-08-21,74
2020-08-22,40
2020-08-23,56
2020-08-24,61
2020-08-25,3
2020-08-26,17
2020-08-27,26
2020-08-28,31
2020-08-29,37
2020-08-30,34
2020-08-31,28
2020-09-01,25
2020-09-02,31
2020-09-03,37
2020-09-04,32
2020-09-05,38
2020-09-06,28
2020-09-07,16
2020-09-08,84
2020-09-09,76
2020-09-10,49
2020-09-11,52
2020-09-12,38
2020-09-13,37
2020-09-14,27
2020-09-15,6
2020-09-16,9
2020-09-17,6
2020-09-18,5
2020-09-19,5
2020-09-20,6
2020-09-21,5
2020-09-22,13
2020-09-23,5
2020-09-24,6
2020-09-25,4
2020-09-26,5
2020-09-27,6
2020-09-28,2
2020-09-29,6
2020-09-30,10
2020-10-01,1
2020-10-02,1
2020-10-03,4
2020-10-04,1
2020-10-05,2
2020-10-06,5
2020-10-07,7
2020-10-08,5
2020-10-09,8
2020-10-10,1
2020-10-11,5
2020-10-12,45
2020-10-13,5
2020-10-14,2
2020-10-15,8
2020-10-16,2
2020-10-17,4
2020-10-18,2
2020-10-19,10
2020-10-20,7
2020-10-21,6
2020-10-22,12
2020-10-23,7
2020-10-24,6
2020-10-25,13
2020-10-26,12
2020-10-27,14
2020-10-28,20
2020-10-29,23
2020-10-30,14
2020-10-31,182
2020-11-01,70
2020-11-02,55
