天数,销量
2020-09-14,6
2020-09-15,26
2020-09-16,26
2020-09-17,22
2020-09-18,29
2020-09-19,21
2020-09-20,23
2020-09-21,31
2020-09-22,24
2020-09-23,27
2020-09-24,22
2020-09-25,19
2020-09-26,20
2020-09-27,26
2020-09-28,26
2020-09-29,18
2020-09-30,9
2020-10-01,27
2020-10-02,20
2020-10-03,25
2020-10-04,22
2020-10-05,21
2020-10-06,19
2020-10-07,11
2020-10-08,10
2020-10-09,11
2020-10-10,11
2020-10-11,9
2020-10-12,23
2020-10-13,10
2020-10-14,9
2020-10-15,17
2020-10-16,13
2020-10-17,16
2020-10-18,16
2020-10-19,16
2020-10-20,12
2020-10-21,15
2020-10-22,12
2020-10-23,14
2020-10-24,16
2020-10-25,12
2020-10-26,16
2020-10-27,9
2020-10-28,9
2020-10-29,3
2020-10-30,0
2020-10-31,285
2020-11-01,16
2020-11-02,2
2020-11-03,4
2020-11-04,0
2020-11-05,4
2020-11-06,3
2020-11-07,12
2020-11-08,4
2020-11-09,0
2020-11-10,574
2020-11-11,326
2020-11-12,20
2020-11-13,13
2020-11-14,13
2020-11-15,10
2020-11-16,9
2020-11-17,9
2020-11-18,21
2020-11-19,9
2020-11-20,8
2020-11-21,5
2020-11-22,9
2020-11-23,12
2020-11-24,12
2020-11-25,8
2020-11-26,9
2020-11-27,7
2020-11-28,6
2020-11-29,6
2020-11-30,12
2020-12-01,11
2020-12-02,13
2020-12-03,6
2020-12-04,2
2020-12-05,5
2020-12-06,5
2020-12-07,3
2020-12-08,0
2020-12-09,134
2020-12-10,52
2020-12-11,113
2020-12-12,108
2020-12-13,15
2020-12-14,5
2020-12-15,6
2020-12-16,9
2020-12-17,9
2020-12-18,9
2020-12-19,6
2020-12-20,16
2020-12-21,11
2020-12-22,3
2020-12-23,1
2020-12-24,7
2020-12-25,4
2020-12-26,1
