天数,销量
2020-09-03,2
2020-09-04,2
2020-09-05,1
2020-09-06,1
2020-09-07,2
2020-09-08,3
2020-09-09,1
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,9
2020-09-15,21
2020-09-16,17
2020-09-17,16
2020-09-18,20
2020-09-19,12
2020-09-20,20
2020-09-21,18
2020-09-22,12
2020-09-23,12
2020-09-24,11
2020-09-25,20
2020-09-26,19
2020-09-27,9
2020-09-28,12
2020-09-29,11
2020-09-30,10
2020-10-01,12
2020-10-02,13
2020-10-03,9
2020-10-04,13
2020-10-05,14
2020-10-06,11
2020-10-07,17
2020-10-08,8
2020-10-09,10
2020-10-10,7
2020-10-11,9
2020-10-12,3
2020-10-13,11
2020-10-14,17
2020-10-15,13
2020-10-16,7
2020-10-17,11
2020-10-18,12
2020-10-19,10
2020-10-20,8
2020-10-21,12
2020-10-22,5
2020-10-23,9
2020-10-24,11
2020-10-25,12
2020-10-26,11
2020-10-27,5
2020-10-28,7
2020-10-29,5
2020-10-30,0
2020-10-31,252
2020-11-01,140
2020-11-02,116
2020-11-03,40
2020-11-04,0
2020-11-05,0
2020-11-06,1
2020-11-07,1
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,1
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,2
2020-11-21,2
2020-11-22,6
2020-11-23,10
2020-11-24,6
2020-11-25,2
2020-11-26,9
2020-11-27,4
2020-11-28,3
2020-11-29,6
2020-11-30,16
2020-12-01,16
2020-12-02,9
2020-12-03,7
2020-12-04,7
2020-12-05,2
2020-12-06,6
2020-12-07,5
2020-12-08,0
2020-12-09,56
2020-12-10,11
2020-12-11,2
2020-12-12,1
2020-12-13,7
2020-12-14,14
2020-12-15,9
2020-12-16,10
2020-12-17,5
2020-12-18,8
2020-12-19,5
2020-12-20,3
2020-12-21,1
2020-12-22,4
2020-12-23,4
2020-12-24,4
2020-12-25,2
