天数,销量
2020-03-04,1
2020-03-05,1
2020-03-06,0
2020-03-07,20
2020-03-08,3
2020-03-09,4
2020-03-10,5
2020-03-11,1
2020-03-12,5
2020-03-13,2
2020-03-14,2
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,2
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,2
2020-04-02,0
2020-04-03,2
2020-04-04,0
2020-04-05,0
2020-04-06,1
2020-04-07,3
2020-04-08,2
2020-04-09,0
2020-04-10,0
2020-04-11,1
2020-04-12,1
2020-04-13,0
2020-04-14,0
2020-04-15,1
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,1
2020-04-24,1
2020-04-25,0
2020-04-26,0
2020-04-27,1
2020-04-28,0
2020-04-29,0
2020-04-30,1
2020-05-01,0
2020-05-02,0
2020-05-03,1
2020-05-04,1
2020-05-05,0
2020-05-06,2
2020-05-07,1
2020-05-08,0
2020-05-09,0
2020-05-10,1
