天数,销量
2020-10-16,1
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,7
2020-11-01,1
2020-11-02,1
2020-11-03,1
2020-11-04,2
2020-11-05,6
2020-11-06,2
2020-11-07,2
2020-11-08,2
2020-11-09,1
2020-11-10,26
2020-11-11,11
2020-11-12,7
2020-11-13,3
2020-11-14,0
2020-11-15,2
2020-11-16,1
2020-11-17,3
2020-11-18,1
2020-11-19,2
2020-11-20,0
2020-11-21,0
2020-11-22,2
2020-11-23,4
2020-11-24,1
2020-11-25,1
2020-11-26,0
2020-11-27,1
2020-11-28,1
2020-11-29,2
2020-11-30,5
2020-12-01,5
2020-12-02,4
2020-12-03,0
2020-12-04,2
2020-12-05,2
2020-12-06,0
2020-12-07,0
2020-12-08,2
2020-12-09,9
2020-12-10,6
2020-12-11,7
2020-12-12,15
2020-12-13,3
2020-12-14,0
2020-12-15,0
2020-12-16,5
2020-12-17,0
2020-12-18,0
2020-12-19,3
2020-12-20,2
2020-12-21,2
2020-12-22,3
2020-12-23,3
2020-12-24,2
2020-12-25,1
2020-12-26,2
2020-12-27,2
