天数,销量
2020-08-07,1
2020-08-08,1
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,3
2020-08-21,3
2020-08-22,0
2020-08-23,2
2020-08-24,1
2020-08-25,3
2020-08-26,2
2020-08-27,0
2020-08-28,1
2020-08-29,3
2020-08-30,0
2020-08-31,2
2020-09-01,1
2020-09-02,2
2020-09-03,1
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,2
2020-09-09,6
2020-09-10,1
2020-09-11,2
2020-09-12,2
2020-09-13,1
