天数,销量
2020-08-08,2
2020-08-09,5
2020-08-10,1
2020-08-11,1
2020-08-12,1
2020-08-13,2
2020-08-14,2
2020-08-15,0
2020-08-16,6
2020-08-17,5
2020-08-18,7
2020-08-19,1
2020-08-20,5
2020-08-21,4
2020-08-22,7
2020-08-23,4
2020-08-24,9
2020-08-25,8
2020-08-26,8
2020-08-27,6
2020-08-28,2
2020-08-29,4
2020-08-30,5
2020-08-31,1
2020-09-01,3
2020-09-02,4
2020-09-03,5
2020-09-04,2
2020-09-05,3
2020-09-06,5
2020-09-07,3
2020-09-08,8
2020-09-09,11
2020-09-10,6
2020-09-11,7
2020-09-12,2
2020-09-13,5
2020-09-14,3
2020-09-15,10
2020-09-16,2
2020-09-17,3
2020-09-18,5
2020-09-19,9
2020-09-20,7
2020-09-21,5
2020-09-22,2
2020-09-23,5
2020-09-24,4
2020-09-25,9
2020-09-26,5
2020-09-27,3
2020-09-28,10
2020-09-29,2
2020-09-30,9
2020-10-01,1
2020-10-02,2
2020-10-03,3
2020-10-04,6
2020-10-05,4
2020-10-06,4
2020-10-07,9
2020-10-08,6
2020-10-09,8
2020-10-10,4
2020-10-11,4
2020-10-12,3
2020-10-13,4
2020-10-14,4
2020-10-15,1
2020-10-16,2
2020-10-17,7
2020-10-18,1
2020-10-19,3
2020-10-20,1
2020-10-21,4
2020-10-22,0
2020-10-23,5
2020-10-24,3
2020-10-25,2
2020-10-26,3
2020-10-27,3
2020-10-28,4
2020-10-29,2
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,1
2020-11-26,3
2020-11-27,4
2020-11-28,6
2020-11-29,4
2020-11-30,6
2020-12-01,8
2020-12-02,4
2020-12-03,3
2020-12-04,0
2020-12-05,2
2020-12-06,5
2020-12-07,0
2020-12-08,0
2020-12-09,34
2020-12-10,17
2020-12-11,24
2020-12-12,35
2020-12-13,3
2020-12-14,5
2020-12-15,3
2020-12-16,3
2020-12-17,2
2020-12-18,1
2020-12-19,0
2020-12-20,3
2020-12-21,6
2020-12-22,3
2020-12-23,0
2020-12-24,2
2020-12-25,2
