天数,销量
2020-07-09,1
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,1
2020-07-28,1
2020-07-29,0
2020-07-30,0
2020-07-31,2
2020-08-01,2
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,2
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,1
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,5
2020-09-09,4
2020-09-10,1
2020-09-11,1
2020-09-12,1
2020-09-13,2
2020-09-14,0
2020-09-15,0
2020-09-16,1
2020-09-17,0
2020-09-18,3
2020-09-19,2
2020-09-20,0
2020-09-21,2
2020-09-22,2
2020-09-23,0
2020-09-24,2
2020-09-25,4
2020-09-26,0
2020-09-27,2
2020-09-28,3
2020-09-29,3
2020-09-30,1
2020-10-01,1
2020-10-02,0
2020-10-03,0
2020-10-04,1
2020-10-05,1
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,1
2020-10-12,1
2020-10-13,1
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,1
