天数,销量
2020-08-19,8
2020-08-20,9
2020-08-21,5
2020-08-22,2
2020-08-23,3
2020-08-24,1
2020-08-25,6
2020-08-26,2
2020-08-27,3
2020-08-28,2
2020-08-29,4
2020-08-30,0
2020-08-31,0
2020-09-01,2
2020-09-02,1
2020-09-03,1
2020-09-04,6
2020-09-05,1
2020-09-06,0
2020-09-07,0
2020-09-08,2
2020-09-09,0
2020-09-10,1
2020-09-11,1
2020-09-12,3
2020-09-13,3
2020-09-14,2
2020-09-15,2
2020-09-16,5
2020-09-17,1
2020-09-18,0
2020-09-19,6
2020-09-20,0
2020-09-21,1
2020-09-22,0
2020-09-23,2
2020-09-24,1
2020-09-25,3
2020-09-26,1
2020-09-27,6
2020-09-28,3
2020-09-29,0
2020-09-30,3
2020-10-01,0
2020-10-02,2
2020-10-03,3
2020-10-04,1
2020-10-05,2
2020-10-06,1
2020-10-07,2
2020-10-08,2
2020-10-09,3
2020-10-10,3
2020-10-11,4
2020-10-12,4
2020-10-13,1
2020-10-14,2
2020-10-15,3
2020-10-16,2
2020-10-17,2
2020-10-18,0
2020-10-19,1
2020-10-20,3
2020-10-21,4
2020-10-22,12
2020-10-23,14
2020-10-24,2
2020-10-25,3
2020-10-26,1
2020-10-27,0
2020-10-28,2
2020-10-29,1
