天数,销量
2020-10-02,1
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,2
2020-10-08,1
2020-10-09,0
2020-10-10,1
2020-10-11,2
2020-10-12,1
2020-10-13,2
2020-10-14,1
2020-10-15,1
2020-10-16,1
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,45
2020-10-21,0
2020-10-22,1
2020-10-23,0
2020-10-24,1
2020-10-25,0
2020-10-26,6
2020-10-27,1
2020-10-28,1
2020-10-29,1
2020-10-30,0
2020-10-31,2
2020-11-01,2
2020-11-02,1
2020-11-03,5
2020-11-04,14
2020-11-05,5
2020-11-06,2
2020-11-07,12
2020-11-08,10
2020-11-09,17
2020-11-10,53
2020-11-11,2
2020-11-12,1
2020-11-13,0
2020-11-14,0
2020-11-15,3
2020-11-16,1
2020-11-17,0
2020-11-18,0
2020-11-19,3
2020-11-20,2
2020-11-21,5
2020-11-22,7
2020-11-23,3
2020-11-24,5
2020-11-25,4
2020-11-26,0
2020-11-27,1
2020-11-28,6
2020-11-29,10
2020-11-30,2
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,5
2020-12-06,5
2020-12-07,8
2020-12-08,7
2020-12-09,0
2020-12-10,2
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,9
2020-12-15,14
2020-12-16,6
2020-12-17,7
2020-12-18,7
2020-12-19,10
2020-12-20,6
2020-12-21,8
2020-12-22,6
2020-12-23,11
2020-12-24,3
2020-12-25,3
2020-12-26,6
2020-12-27,3
