天数,销量
2020-09-09,1
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,1
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,1
2020-10-06,1
2020-10-07,0
2020-10-08,0
2020-10-09,1
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,1
2020-10-16,0
2020-10-17,0
2020-10-18,1
2020-10-19,0
2020-10-20,0
2020-10-21,1
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,1
2020-10-26,0
2020-10-27,2
2020-10-28,0
2020-10-29,1
2020-10-30,0
2020-10-31,2
2020-11-01,0
2020-11-02,2
2020-11-03,0
2020-11-04,2
2020-11-05,0
2020-11-06,1
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,7
2020-11-11,2
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,1
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,1
