天数,销量
2020-06-15,28
2020-06-16,0
2020-06-17,24
2020-06-18,0
2020-06-19,1
2020-06-20,3
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,10
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,4
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,2
2020-07-08,2
2020-07-09,0
2020-07-10,1
2020-07-11,1
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,2
2020-07-16,0
2020-07-17,0
2020-07-18,7
2020-07-19,4
2020-07-20,1
2020-07-21,12
2020-07-22,6
2020-07-23,10
2020-07-24,14
2020-07-25,8
2020-07-26,12
2020-07-27,16
2020-07-28,12
2020-07-29,11
2020-07-30,9
2020-07-31,41
2020-08-01,19
2020-08-02,10
2020-08-03,8
2020-08-04,37
2020-08-05,6
2020-08-06,9
2020-08-07,8
