天数,销量
2020-07-23,3
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,0
2020-08-01,1
2020-08-02,0
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,1
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,0
2020-08-13,0
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,1
2020-08-23,0
2020-08-24,0
2020-08-25,1
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,1
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,1
2020-09-20,1
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,3
2020-09-25,2
2020-09-26,3
2020-09-27,2
2020-09-28,63
2020-09-29,8
2020-09-30,2
2020-10-01,10
2020-10-02,4
2020-10-03,5
2020-10-04,9
2020-10-05,5
2020-10-06,5
2020-10-07,4
2020-10-08,2
2020-10-09,3
2020-10-10,11
2020-10-11,6
2020-10-12,4
2020-10-13,7
2020-10-14,3
2020-10-15,7
2020-10-16,4
2020-10-17,10
2020-10-18,6
2020-10-19,7
2020-10-20,5
2020-10-21,10
2020-10-22,7
2020-10-23,5
2020-10-24,12
2020-10-25,6
2020-10-26,7
2020-10-27,5
2020-10-28,4
2020-10-29,1
2020-10-30,2
2020-10-31,10
2020-11-01,29
2020-11-02,4
2020-11-03,4
2020-11-04,2
2020-11-05,0
2020-11-06,2
2020-11-07,1
2020-11-08,5
2020-11-09,0
2020-11-10,21
2020-11-11,16
2020-11-12,15
2020-11-13,8
2020-11-14,4
2020-11-15,7
2020-11-16,7
2020-11-17,6
2020-11-18,4
2020-11-19,7
2020-11-20,5
2020-11-21,12
2020-11-22,9
2020-11-23,5
2020-11-24,4
2020-11-25,3
2020-11-26,5
2020-11-27,2
2020-11-28,3
2020-11-29,2
2020-11-30,4
2020-12-01,3
2020-12-02,3
2020-12-03,2
2020-12-04,0
2020-12-05,0
2020-12-06,5
2020-12-07,6
2020-12-08,3
2020-12-09,3
2020-12-10,0
2020-12-11,2
2020-12-12,14
2020-12-13,7
2020-12-14,5
2020-12-15,4
2020-12-16,2
2020-12-17,4
2020-12-18,1
2020-12-19,2
2020-12-20,4
2020-12-21,5
2020-12-22,4
2020-12-23,1
2020-12-24,5
2020-12-25,8
2020-12-26,2
2020-12-27,32
2020-12-28,8
