天数,销量
2019-06-03,1
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,0
2019-06-08,0
2019-06-09,0
2019-06-10,0
2019-06-11,0
2019-06-12,0
2019-06-13,1
2019-06-14,0
2019-06-15,1
2019-06-16,0
2019-06-17,3
2019-06-18,15
2019-06-19,6
2019-06-20,8
2019-06-21,0
2019-06-22,0
2019-06-23,0
2019-06-24,0
2019-06-25,1
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,1
2019-06-30,6
2019-07-01,0
2019-07-02,0
2019-07-03,0
2019-07-04,0
2019-07-05,0
2019-07-06,0
2019-07-07,1
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,2
