天数,销量
2019-08-25,1
2019-08-26,0
2019-08-27,0
2019-08-28,0
2019-08-29,0
2019-08-30,0
2019-08-31,0
2019-09-01,0
2019-09-02,0
2019-09-03,0
2019-09-04,0
2019-09-05,0
2019-09-06,0
2019-09-07,0
2019-09-08,2
2019-09-09,0
2019-09-10,0
2019-09-11,1
2019-09-12,1
2019-09-13,1
2019-09-14,2
2019-09-15,0
2019-09-16,4
2019-09-17,1
2019-09-18,0
2019-09-19,1
2019-09-20,0
2019-09-21,0
2019-09-22,2
2019-09-23,2
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,1
2019-09-28,0
2019-09-29,1
2019-09-30,0
2019-10-01,0
2019-10-02,1
2019-10-03,0
2019-10-04,0
2019-10-05,1
2019-10-06,0
2019-10-07,1
